Round,batch_size,best epoch training_time,best_test_rmse,best_test_rmse_epoch,clip_gradients,decay_learning_rate,dropout_keep_prob,hidden_activation,hidden_layer_size,hidden_regularisation,hidden_regularizer,learning_rate,num_hidden_layers,optimizer
108,512,1s,1.038225848,0,False,False,1.0,,50,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
109,64,2s,1.044418718,16,False,False,0.8,,200,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
110,512,1s,1.0473240129999999,17,False,False,0.7,<function relu at 0x7f7750b3ed08>,50,0.1,<function l2_regularizer at 0x7f772095d510>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
111,64,9s,1.052481484,14,True,False,0.7,,800,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
112,128,8s,1.053909638,18,False,False,0.6,,800,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
113,512,21s,1.061910063,19,False,False,0.8,<function softplus at 0x7fbb9a7fb378>,800,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
114,256,1s,1.072534704,10,False,False,0.6,,50,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
115,128,1s,1.078939115,10,True,False,0.8,,25,0.5,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
116,64,4s,1.079410371,5,False,True,0.7,,200,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
117,512,3s,1.08982561,16,True,False,0.7,<function softplus at 0x7fbb9a7fb378>,200,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
118,512,0s,1.108763089,7,False,False,0.9,,25,0.5,<function l2_regularizer at 0x7fbb6a5b7488>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
